,department id:2,department id:3,department id:4,department id:5,department id:6,department id:7,department id:8,department id:9,department id:10,department id:11,department id:12
Fresno,"(36.85815048, -119.7859116)","(36.85815048, -119.7859116)","(36.75066376, -119.7681427)","(36.75066376, -119.7681427)","(36.78148651, -119.7815475)","(36.85815048, -119.7859116)",,"(36.85815048, -119.7859116)","(36.84977341, -119.7836075)","(36.78120422, -119.7815475)","(36.85815048, -119.7859116)"
Phoenix,"(33.40356064, -112.0214005)","(33.45198822, -112.1262131)","(33.63859177, -112.0436478)","(33.40356064, -112.0214005)","(33.40356064, -112.0214005)","(33.50607681, -112.0525513)","(33.60445786, -111.9907379)","(33.58987427, -112.1163712)","(33.64781952, -112.0518799)","(33.58987427, -112.1163712)",
Portland,"(45.54113007, -122.7773743)","(45.54113007, -122.7773743)","(42.66555023, -12.25018311)","(42.66555023, -12.25018311)","(45.54113007, -122.7773743)","(45.45874023, -122.5946426)","(45.45874023, -122.5946426)","(45.44815064, -122.7694931)","(45.44815064, -122.7694931)","(45.54113007, -122.7773743)","(45.45874023, -122.5946426)"
Catonsville,"(39.28148651, -76.73960877)","(39.28148651, -76.73960877)","(39.26510239, -76.77329254)","(39.26515198, -76.77284241)","(39.27961731, -76.71038055)","(39.26515198, -76.77284241)",,"(39.27961731, -76.71038055)","(39.27961731, -76.71038055)","(39.27961731, -76.71038055)","(39.27961731, -76.71038055)"
Hayward,"(37.6694603, -122.1121979)","(37.61644745, -120.3795013)","(37.65920639, -122.0630951)","(37.67551041, -122.0496826)","(37.63788986, -122.0765686)","(37.67551041, -122.0496826)","(37.67551041, -122.0496826)","(37.6694603, -122.1121979)","(37.63788986, -122.0765686)","(37.67551041, -122.0496826)","(37.61644745, -120.3795013)"
Lynnwood,"(47.84322357, -122.2460785)","(47.84322357, -122.2460785)","(47.83055496, -122.29702)","(47.84322357, -122.2460785)","(47.84322357, -122.2460785)","(47.83055496, -122.29702)",,"(47.84322357, -122.2460785)","(47.84322357, -122.2460785)","(47.84322357, -122.2460785)",
Amarillo,"(35.22240448, -101.8577805)","(35.18754196, -101.8676224)","(35.18864822, -101.8707352)","(35.18754196, -101.8676224)","(35.18754196, -101.8676224)","(35.18754196, -101.8676224)","(35.18754196, -101.8676224)","(35.18754196, -101.8676224)","(35.22245026, -101.8593826)","(35.22186661, -101.8756027)",
Massillon,"(40.75095749, -81.51673126)","(40.75095749, -81.51673126)","(40.75134277, -81.51682282)","(40.74974442, -81.516922)","(40.74974442, -81.516922)","(40.79729843, -81.59095764)",,,,"(40.74974442, -81.516922)",
Hollywood,"(25.98771095, -80.25540161)","(26.01161957, -80.17346954)","(25.98771095, -80.25540161)","(26.01106072, -80.18481445)","(25.98771095, -80.25540161)","(25.98771095, -80.25540161)","(26.03257561, -80.18391419)","(26.01161957, -80.17346954)","(26.01161957, -80.17346954)",,
Longmont,"(40.1901207, -105.1010666)","(40.1901207, -105.1010666)","(40.1901207, -105.1010666)","(40.1901207, -105.1010666)","(40.1901207, -105.1010666)","(40.1901207, -105.1010666)",,"(40.1901207, -105.1010666)","(40.1901207, -105.1010666)",,
Union City,"(37.58462524, -122.0175552)","(37.58989716, -122.018959)","(40.7615242, -74.03826904)","(40.7615242, -74.03826904)","(37.58462524, -122.0175552)","(40.7615242, -74.03826904)",,"(40.7615242, -74.03826904)","(40.7615242, -74.03826904)",,"(40.7615242, -74.03826904)"
Moreno Valley,"(33.94717026, -117.253624)","(33.94717026, -117.253624)","(33.94717026, -117.253624)","(33.94717026, -117.253624)","(33.94717026, -117.253624)","(33.94717026, -117.253624)",,"(33.94562149, -117.2952881)","(33.92159271, -117.263176)",,"(33.92159271, -117.263176)"
Alhambra,"(34.09844971, -118.1469803)","(34.10591126, -118.1196442)","(34.09868622, -118.1370468)","(34.0986023, -118.145752)","(34.09868622, -118.1370468)","(38.6956749, -120.9910202)",,"(34.09853745, -118.1519241)","(34.10591126, -118.1196442)","(34.09853745, -118.1519241)",
Crystal Lake,"(42.24145126, -88.27947235)","(42.24140167, -88.28688812)","(42.24122238, -88.30726624)","(42.24145126, -88.27947235)","(42.24140167, -88.28688812)","(42.24145126, -88.27947235)",,"(42.24145508, -88.27013397)","(42.24155426, -88.26260376)",,
Fullerton,"(33.87593842, -118.0005798)","(33.86329651, -117.9716263)","(33.86329651, -117.9716263)","(33.86329651, -117.9716263)","(33.86329651, -117.9716263)","(33.86329651, -117.9716263)","(33.86329651, -117.9716263)","(33.86329651, -117.9716263)","(33.86329651, -117.9716263)",,
Fort Lauderdale,"(26.0984993, -80.27095032)","(26.15128136, -80.21017456)","(26.15128136, -80.21017456)","(26.0984993, -80.27095032)","(26.15756989, -80.19480133)","(26.0984993, -80.27095032)",,"(26.15128136, -80.21017456)","(26.15128136, -80.21017456)","(26.15756989, -80.19480133)","(26.11425972, -80.16235352)"
Rego Park,"(40.73192978, -73.8688736)","(40.73192978, -73.8688736)","(40.73192978, -73.8688736)","(40.73192978, -73.8688736)","(40.73192978, -73.8688736)","(40.849617, -73.09238434)",,,"(40.73192978, -73.8688736)",,"(40.73192978, -73.8688736)"
Albuquerque,"(35.13623428, -106.5444183)","(35.06517029, -106.6699524)","(35.11821365, -106.7038727)","(35.1097641, -106.5007248)","(35.11821365, -106.7038727)","(35.11821365, -106.7038727)","(35.13623428, -106.5444183)","(35.13623428, -106.5444183)","(35.11821365, -106.7038727)",,
Philadelphia,"(40.00958252, -75.15264893)","(39.92448425, -75.1757431)","(39.94662857, -75.21822357)","(39.95856094, -75.21888733)","(39.95856094, -75.21888733)","(39.95703888, -75.22582245)","(40.03124619, -75.18191528)","(39.95473099, -75.20536804)","(39.96031189, -75.23809815)","(39.94662857, -75.21822357)","(39.92321014, -75.16308594)"
Laredo,"(27.50749588, -99.49232483)","(27.50863648, -99.50951386)","(27.50744438, -99.48316193)","(27.50863648, -99.50951386)","(27.50863648, -99.50951386)","(27.50744438, -99.48316193)",,"(27.50863648, -99.50951386)","(27.50744438, -99.48082733)","(27.50863648, -99.50951386)","(27.50759506, -99.45747376)"
Mililani,"(21.4479599, -158.016037)","(21.4479599, -158.016037)","(21.4479599, -158.016037)","(21.4479599, -158.016037)","(21.4479599, -158.016037)","(21.4479599, -158.016037)","(21.4479599, -158.016037)","(21.4479599, -158.016037)","(21.4479599, -158.016037)",,"(21.4479599, -158.016037)"
Oxnard,"(34.26187897, -119.148941)","(34.15459442, -119.1787262)","(34.18197632, -119.1677322)","(34.18197632, -119.1677322)","(34.15459442, -119.1787262)","(34.16575623, -119.1442413)","(34.19825363, -119.1806412)","(34.19825363, -119.1806412)","(34.25106049, -119.1718369)",,
College Station,"(30.60759926, -96.31684876)","(30.62887001, -96.3033905)","(30.60759926, -96.31684876)","(30.62703514, -96.29589081)","(30.62633896, -96.34606934)","(30.60759926, -96.31684876)",,"(30.60759926, -96.31684876)","(30.60759926, -96.31684876)",,"(30.60759926, -96.31684876)"
Ann Arbor,"(42.20297241, -83.79707336)","(37.81472397, -121.2901917)","(32.81396866, -96.78915405)","(42.26944733, -83.7731247)","(42.23929215, -83.77120972)","(37.81472397, -121.2901917)","(42.26944733, -83.7731247)","(42.25324631, -83.75396729)","(42.23929215, -83.77120972)",,
Santa Ana,"(33.74279404, -117.8847504)","(33.70288849, -117.9041977)","(33.75128937, -117.8674774)","(33.75128937, -117.8674774)","(33.84053803, -118.0098038)","(33.66559982, -117.8830566)",,"(33.70288849, -117.9041977)","(33.66559982, -117.8830566)","(33.70288849, -117.9041977)",
Smyrna,"(33.897789, -84.53984833)",,"(33.89192963, -84.48126984)","(33.89192963, -84.48126984)","(32.95944214, -96.76813507)","(33.89192963, -84.48126984)",,"(33.89192963, -84.48126984)","(33.89192963, -84.48126984)",,
Woodbridge,"(37.61985397, -77.32499695)","(37.62722778, -77.32672882)","(38.67605209, -77.26837158)","(37.16905212, -76.54790497)","(38.67605209, -77.26837158)","(36.70500946, -76.24909973)",,"(36.70500946, -76.24909973)","(37.61552048, -77.32396698)","(37.16918945, -76.54801178)","(37.62722778, -77.32672882)"
Princeton,"(40.35742188, -74.64842224)","(40.35074616, -74.64633942)","(40.35074616, -74.64633942)","(40.35074616, -74.64633942)","(40.31076431, -74.71014404)","(40.3516655, -74.64704132)","(39.64060593, -104.90625)","(40.39253616, -74.65000916)","(40.35742188, -74.64842224)","(40.35264587, -74.647789)","(40.35742188, -74.64842224)"
Wyoming,"(42.90198517, -85.67822266)","(42.90983582, -85.68525696)","(42.3543663, -83.15771484)","(42.35873032, -83.15798187)","(42.35873032, -83.15798187)","(42.90983582, -85.68525696)","(42.91418076, -85.72173309)","(42.91418076, -85.72173309)","(42.90983582, -85.68525696)",,
Rowland Heights,"(34.00062561, -117.9077301)","(34.00062561, -117.9077301)","(34.00062561, -117.9077301)","(34.1051712, -118.0531235)","(34.1051712, -118.0531235)","(34.00062561, -117.9077301)",,"(34.00062561, -117.9077301)","(34.00062561, -117.9077301)",,
La Mesa,"(32.76065064, -117.0166702)","(32.76065064, -117.0166702)","(32.76065064, -117.0166702)","(32.76065064, -117.0166702)","(32.76065064, -117.0166702)","(32.76065064, -117.0166702)",,"(32.76065064, -117.0166702)","(32.77360916, -116.995903)",,
Vista,"(38.69150925, -121.3033371)","(38.69150925, -121.3033371)","(33.19448853, -117.2777481)","(33.21121979, -117.2510605)","(32.58216476, -117.003685)","(33.19448853, -117.2777481)","(33.21837997, -117.2267685)","(33.97169495, -118.4271698)","(33.97169495, -118.4271698)",,
Edinburg,"(26.28962517, -98.21530914)",,"(26.29763413, -98.17961884)","(26.30719376, -98.20148468)","(26.28962517, -98.21530914)","(26.29763413, -98.17961884)",,,,,
Aurora,"(33.81848145, -111.8728256)","(39.49591446, -98.98998261)","(39.69681549, -104.8411789)","(41.77206039, -88.37110901)","(41.72254562, -88.27864075)","(39.74543381, -104.8753815)","(41.72254562, -88.27864075)","(39.65368652, -104.8682022)","(41.82056046, -88.22026825)","(39.69681549, -104.8411789)","(41.72254562, -88.27864075)"
Howell,"(42.60770416, -83.93352509)","(42.60770416, -83.93352509)","(42.60770416, -83.93352509)","(42.60770416, -83.93352509)","(42.60770416, -83.93352509)","(42.60770416, -83.93352509)",,,"(42.60770416, -83.93352509)",,
Buffalo,"(42.94129181, -78.80055237)","(42.9666214, -78.74194336)","(42.9666214, -78.74194336)","(42.94129181, -78.80055237)","(42.9666214, -78.74194336)","(42.9781456, -78.77485657)","(42.9666214, -78.74194336)","(42.94129181, -78.80055237)","(42.94129181, -78.80055237)",,
Zanesville,"(39.99208069, -82.02707672)","(39.94148636, -82.00222015)","(39.91943359, -82.00153351)","(40.01314545, -81.91252136)","(39.91952896, -82.00141907)","(39.9108696, -82.01207733)",,,,,
Michigan City,"(41.68772507, -86.94359589)","(41.68772507, -86.94359589)","(41.68772507, -86.94359589)","(41.68772507, -86.94359589)",,"(41.68772507, -86.94359589)",,"(41.68772507, -86.94359589)",,,
Sheboygan,"(43.71754456, -87.75187683)","(43.71754456, -87.75187683)","(43.73061371, -87.7301178)","(43.71754456, -87.75187683)","(43.75511169, -87.71308136)","(43.72608185, -87.73526764)",,,,,
Moline,"(41.47225571, -90.45683289)","(41.5132103, -90.46318817)","(41.47211838, -90.45787048)","(41.47211838, -90.45787048)","(41.49992752, -90.51541138)","(41.49992752, -90.51541138)",,"(41.49992752, -90.51541138)","(41.49992752, -90.51541138)",,
Elgin,"(41.97670364, -88.26086426)","(42.03330612, -88.29245758)","(42.03330612, -88.29245758)","(42.03330612, -88.29245758)","(42.01158905, -88.2883606)","(41.97670364, -88.26086426)","(42.03330612, -88.29245758)","(42.06185913, -88.29256439)","(42.06185913, -88.29256439)","(42.03330612, -88.29245758)",
Tempe,"(33.44217682, -111.9240417)","(33.40329361, -111.9140549)","(33.35738754, -111.9551849)","(33.35738754, -111.9551849)","(33.40329361, -111.9140549)","(33.40357971, -111.9976044)","(33.35738754, -111.9551849)","(33.41519928, -111.9199905)","(33.35738754, -111.9551849)","(33.44208145, -111.9234924)","(33.35738754, -111.9551849)"
Norcross,"(34.02620316, -84.34632111)","(34.02620316, -84.34632111)","(33.8666687, -84.20645142)","(33.8666687, -84.20645142)","(33.89028168, -84.19355774)","(34.02620316, -84.34632111)",,"(33.89028168, -84.19355774)","(33.93463516, -84.18406677)",,"(33.89028168, -84.19355774)"
Mchenry,"(42.34489441, -88.27207947)","(42.31463623, -88.27697754)","(42.3476944, -88.28681183)","(42.31463623, -88.27697754)","(42.31463623, -88.27697754)","(42.31463623, -88.27697754)","(42.34777069, -88.2697525)","(42.34777069, -88.2697525)",,,
Las Vegas,"(36.16341019, -115.095459)","(36.15852737, -115.1483994)","(36.19702148, -115.2236481)","(34.12145996, -118.2587128)","(36.17177963, -115.1391754)","(36.27093124, -115.0023575)","(36.0126915, -115.1724777)","(36.11117935, -115.2110291)","(36.08593369, -115.1726379)",,"(36.13455582, -115.0988007)"
Elmhurst,"(41.90410233, -87.93784332)","(41.90410233, -87.93784332)","(40.74718475, -73.87696838)","(40.74655533, -73.87952423)","(40.74718475, -73.87696838)","(41.90410233, -87.93784332)",,"(40.74718475, -73.87696838)","(39.75626755, -89.69435883)",,"(41.90410233, -87.93784332)"
Bolingbrook,"(41.7258606, -88.06419373)",,"(41.7258606, -88.06419373)","(41.7258606, -88.06419373)","(41.7258606, -88.06419373)","(41.7258606, -88.06419373)",,,"(41.7258606, -88.06419373)",,
Eagle Pass,"(28.71162415, -100.4991837)","(28.71162415, -100.4991837)","(28.71162415, -100.4991837)","(28.71162415, -100.4991837)",,"(28.71162415, -100.4991837)",,,"(28.71162415, -100.4991837)",,
Yuma,"(32.68590164, -114.6244736)","(32.68590164, -114.6244736)","(32.68590164, -114.6244736)","(32.68590164, -114.6244736)","(32.68590164, -114.6244736)","(32.68590164, -114.6244736)",,"(32.68590164, -114.6244736)",,,
Lutz,"(28.08681297, -82.43898773)","(28.08681297, -82.43898773)","(28.08681297, -82.43898773)","(28.08681297, -82.43898773)","(28.08681297, -82.43898773)","(28.08681297, -82.43898773)",,,"(28.08681297, -82.43898773)",,"(28.08681297, -82.43898773)"
New Orleans,"(30.00569725, -90.06809235)","(29.9877491, -90.06660461)","(29.96774292, -90.03494263)","(29.96966934, -90.09384918)","(29.98578072, -90.06645203)","(29.71730995, -95.67306519)",,"(29.98578072, -90.06645203)","(29.98578072, -90.06645203)",,"(30.00503922, -90.06799316)"
Hagerstown,"(39.64164352, -77.71981812)","(39.45766068, -77.56050873)","(39.64164352, -77.71981812)","(39.64164352, -77.71981812)","(39.63804627, -77.7099762)","(39.58020401, -77.72775269)",,"(39.64164352, -77.71981812)","(39.64164352, -77.71981812)",,"(39.58020401, -77.72775269)"
El Paso,"(31.65174103, -106.2676239)","(31.83210182, -106.5521622)","(31.74350929, -106.3041382)","(31.84699822, -106.5490112)","(31.65174103, -106.2676239)","(31.74350929, -106.3041382)",,"(31.65174103, -106.2676239)","(31.72096634, -106.3431778)",,"(31.65174103, -106.2676239)"
Plano,"(33.04089356, -96.87294769)","(33.00720596, -96.73181915)","(33.03216934, -96.84648132)","(33.00995636, -96.76127625)","(33.02825165, -96.7928009)","(33.02825165, -96.7928009)","(33.03182602, -96.84366608)","(33.03182602, -96.84366608)","(33.00864029, -96.71763611)","(33.03203583, -96.84355927)","(33.0319519, -96.84738159)"
Campbell,"(37.28808594, -121.9490814)","(37.28808594, -121.9490814)","(38.42904663, -121.3647079)","(37.28698349, -121.9564514)","(38.42893982, -121.3671112)","(37.28808594, -121.9490814)",,,,,
Richmond,"(37.53337097, -77.41979218)","(29.58152199, -95.76487732)","(37.63429642, -77.43032074)","(29.58152199, -95.76487732)","(37.74456787, -84.29749298)","(37.57866669, -77.53809357)","(29.58152199, -95.76487732)","(29.58152199, -95.76487732)","(37.79573441, -84.39885712)",,"(37.57866669, -77.53809357)"
Saint Louis,"(38.58456039, -90.26252747)","(38.55596924, -90.27106476)","(38.45304108, -90.30644989)","(38.56441879, -90.29405975)","(38.55596924, -90.27106476)","(38.45304108, -90.30644989)",,,"(38.56441879, -90.29405975)",,
San Antonio,"(29.42638016, -98.52271271)","(33.05379868, -96.8314743)","(29.38037109, -98.6422348)","(29.47656632, -98.579216)","(29.37377548, -98.46685791)","(29.60730171, -97.98625183)","(29.52998352, -98.60829163)","(29.37377548, -98.46685791)","(29.46007919, -98.52754211)",,
Fort Washington,"(38.70825958, -77.01537323)","(38.70825958, -77.01537323)","(38.70825958, -77.01537323)","(38.74266434, -76.9917984)","(38.70825958, -77.01537323)","(38.74266434, -76.9917984)",,"(38.74266434, -76.9917984)","(38.74266434, -76.9917984)",,
Scottsdale,"(33.45067978, -111.9264069)","(33.4447937, -111.9264908)","(33.58246994, -111.9261093)","(29.40739441, -98.65895081)","(33.59082031, -111.9261398)","(33.5163269, -111.9261703)",,"(33.52914047, -111.9256134)",,,
Findlay,"(41.06725693, -83.53536987)","(41.03451538, -83.65354919)","(41.06343079, -83.60743713)","(41.04313278, -83.65692902)","(41.04313278, -83.65692902)","(41.04313278, -83.65692902)",,,,,
Charlotte,"(35.11497879, -80.74542999)","(35.21258926, -80.79562378)","(35.20181656, -80.84571838)","(35.21258926, -80.79562378)","(35.21258926, -80.79562378)","(35.21258926, -80.79562378)",,,"(35.21258926, -80.79562378)",,
Oakland,"(37.82341003, -122.2414322)","(37.77067184, -122.2113724)","(37.77067184, -122.2113724)","(37.76807022, -122.2057037)",,"(37.77067184, -122.2113724)",,,,,
Jersey City,"(40.70602036, -74.08685303)","(40.70602036, -74.08685303)","(40.70602036, -74.08685303)","(40.70602036, -74.08685303)","(40.74726105, -74.04908752)","(40.74501038, -74.05168152)","(40.74726105, -74.04908752)","(40.70602036, -74.08685303)","(40.70602036, -74.08685303)",,"(40.70602036, -74.08685303)"
Elk Grove,"(38.41569519, -121.4185638)","(38.41569519, -121.4185638)","(38.40907288, -121.4195862)","(38.41569519, -121.4185638)","(38.41569519, -121.4185638)","(38.41569519, -121.4185638)",,"(38.41569519, -121.4185638)","(38.41569519, -121.4185638)",,
Roseburg,"(43.20556259, -123.3465195)","(43.20556259, -123.3465195)","(43.20556259, -123.3465195)","(43.20556259, -123.3465195)","(43.20556259, -123.3465195)","(43.20556259, -123.3465195)",,"(43.20556259, -123.3465195)",,,
Irving,"(32.82715988, -97.00611877)","(32.82715988, -97.00611877)","(32.82715988, -97.00611877)","(32.8861351, -96.98526764)","(32.8139267, -96.95181274)","(32.8139267, -96.95181274)",,"(32.8139267, -96.95181274)","(32.8139267, -96.95181274)",,"(32.82715988, -97.00611877)"
Far Rockaway,"(40.60063934, -73.76037598)","(40.60401154, -73.75248718)","(40.59949493, -73.76248169)","(42.08857727, -76.88853455)","(37.69023132, -121.0020142)","(42.08857727, -76.88853455)",,"(40.60063934, -73.76037598)","(40.59949493, -73.76248169)",,
San Marcos,"(29.88676834, -97.93968964)","(29.88279152, -97.89540863)","(33.14486313, -117.1681213)","(33.14486313, -117.1681213)","(34.05033112, -118.2240601)","(29.87107849, -97.95968628)","(29.87866402, -97.90185547)","(29.87866402, -97.90185547)","(29.85276985, -97.93991852)",,
Walnut,"(34.35849762, -117.6262817)","(33.88021851, -118.1467438)","(34.0141983, -117.8547363)","(34.0141983, -117.8547363)","(34.0141983, -117.8547363)","(33.9938736, -117.767746)",,"(34.0141983, -117.8547363)","(34.10470581, -118.3771057)","(34.0141983, -117.8547363)",
Yonkers,"(40.92575073, -73.87052155)","(40.93545914, -73.8830719)","(40.93209076, -73.89285278)","(40.93531036, -73.8874588)","(40.93209076, -73.89285278)","(40.93209076, -73.89285278)","(40.93209076, -73.89285278)","(40.93209076, -73.89285278)",,"(40.93531036, -73.8874588)",
New Bedford,"(41.6280365, -70.92701721)","(41.6280365, -70.92701721)","(41.6280365, -70.92701721)","(41.6280365, -70.92701721)","(41.66638184, -70.93328095)","(41.6280365, -70.92701721)",,"(41.63562393, -70.93080139)","(41.63562393, -70.93080139)",,"(41.63562393, -70.93080139)"
Flushing,"(40.76358032, -73.83003998)","(40.76358032, -73.83003998)","(40.76358032, -73.83003998)","(40.71507645, -73.91550446)","(40.76358032, -73.83003998)","(40.76358032, -73.83003998)","(40.76358032, -73.83003998)",,"(40.76358032, -73.83003998)","(40.76358032, -73.83003998)","(40.76358032, -73.83003998)"
Harlingen,"(26.19086266, -97.69604492)","(26.19086266, -97.69604492)","(26.19086266, -97.69604492)","(26.19086266, -97.69604492)","(26.19086266, -97.69604492)","(26.19086266, -97.69604492)",,"(26.21649933, -97.59871674)","(26.21649933, -97.59871674)",,
Rio Rancho,"(35.24817276, -106.6763763)","(35.24817276, -106.6763763)","(35.24817276, -106.6763763)","(35.24817276, -106.6763763)","(35.24817276, -106.6763763)","(35.24817276, -106.6763763)","(35.24817276, -106.6763763)","(35.24817276, -106.6763763)","(35.24817276, -106.6763763)",,
Nashville,"(36.20269775, -86.98390961)","(36.09893036, -86.73916626)","(36.20269775, -86.98390961)","(36.19697952, -86.97254181)","(36.08510971, -86.70950317)","(36.19697952, -86.97254181)",,"(36.08510971, -86.70950317)",,,
Pompano Beach,"(26.21472931, -80.23004913)","(26.21472931, -80.23004913)","(26.23144913, -80.12522125)","(26.23144913, -80.12522125)","(26.21472931, -80.23004913)","(26.23144913, -80.12522125)","(26.21472931, -80.23004913)","(26.21472931, -80.23004913)","(26.23144913, -80.12522125)",,"(26.21472931, -80.23004913)"
Annapolis,"(38.97784042, -76.49318695)","(38.97633743, -76.49929047)","(38.97784042, -76.49318695)","(38.98915863, -76.54219818)","(38.97784042, -76.49318695)","(38.97784042, -76.49318695)","(38.99177551, -76.50453186)","(38.98915863, -76.54219818)",,,
Newburgh,"(41.50205994, -74.01177216)","(41.50205994, -74.01177216)","(41.50205994, -74.01177216)","(41.50205994, -74.01177216)","(41.50205994, -74.01177216)","(41.50205994, -74.01177216)","(41.50205994, -74.01177216)","(41.50205994, -74.01177216)","(41.50205994, -74.01177216)",,
Laguna Niguel,"(33.52144623, -117.6862259)","(33.54349899, -117.6964264)","(33.52103043, -117.7064667)","(33.52144623, -117.6862259)","(33.52144623, -117.6862259)","(33.52228165, -117.7074127)",,,,,"(33.52144623, -117.6862259)"
Glen Burnie,"(39.15604782, -76.6170044)","(42.27837372, -74.84818268)","(39.13689041, -76.62719727)","(39.15604782, -76.6170044)","(39.13153839, -76.6427536)","(39.15604782, -76.6170044)",,"(39.13153839, -76.6427536)",,,
Dorchester Center,"(42.29180145, -71.0724411)","(42.29163361, -71.06265259)","(42.29180145, -71.0724411)","(40.28383255, -75.08702087)","(42.29163361, -71.06265259)","(42.29180145, -71.0724411)","(42.29163361, -71.06265259)",,"(42.29180145, -71.0724411)","(40.28383255, -75.08702087)",
Santee,"(32.85623932, -116.975441)",,"(32.85623932, -116.975441)","(32.85623932, -116.975441)",,"(32.85623932, -116.975441)",,,"(32.85623932, -116.975441)",,
West Jordan,"(40.62195587, -111.9332733)","(40.62195587, -111.9332733)","(40.62195587, -111.9332733)","(40.62195587, -111.9332733)","(40.62195587, -111.9332733)","(40.62195587, -111.9332733)",,"(40.62195587, -111.9332733)","(40.62195587, -111.9332733)",,"(40.62379837, -111.9185257)"
South San Francisco,"(37.65774155, -122.4140701)","(37.64554977, -122.4228745)","(37.64554977, -122.4228745)","(37.64554977, -122.4228745)","(37.64554977, -122.4228745)","(37.65774155, -122.4140701)",,"(37.67061997, -122.4532928)",,,
New Haven,"(42.34568787, -83.52059174)","(42.34568787, -83.52059174)","(37.76008225, -85.50026703)","(41.46828079, -73.02367401)",,"(37.76008225, -85.50026703)","(38.91280747, -92.28943634)","(39.26873016, -84.75675201)","(37.77542877, -85.49597931)",,
Pico Rivera,"(33.97396088, -118.1019516)","(33.97396088, -118.1019516)","(33.97396088, -118.1019516)","(34.00259781, -118.0799789)","(33.98581696, -118.0808716)","(34.00259781, -118.0799789)","(33.9890213, -118.079155)","(33.98581696, -118.0808716)","(33.97396088, -118.1019516)",,"(33.98581696, -118.0808716)"
Milpitas,"(37.43395615, -121.8810654)","(37.43395615, -121.8810654)","(37.43395615, -121.8810654)","(37.42661285, -121.91082)","(37.44713593, -121.9091797)","(37.43395615, -121.8810654)",,"(37.43395615, -121.8810654)","(37.43395615, -121.8810654)",,
Hickory,"(35.89852142, -81.52240753)","(35.77666092, -81.36262512)","(35.77666092, -81.36262512)","(35.82358933, -81.30722046)","(35.77666092, -81.36262512)","(35.77666092, -81.36262512)",,,,,
Ridgewood,"(40.70074081, -73.8950882)",,"(40.70074081, -73.8950882)","(40.70074081, -73.8950882)","(40.70074081, -73.8950882)","(40.70074081, -73.8950882)",,,,,
Washington,"(38.8549614, -76.96936035)","(40.38931656, -80.08760834)","(38.91826248, -77.03946686)","(38.88553619, -77.11407471)","(38.90260315, -76.98190308)","(38.85520172, -76.84945679)",,"(38.91826248, -77.03946686)","(38.8549614, -76.96936035)","(38.88613129, -77.10688782)",
Quincy,"(42.23906326, -71.00604248)","(42.26028061, -70.99477387)","(40.02307129, -91.36735535)","(42.23906326, -71.00604248)","(40.02307129, -91.36735535)","(40.02307129, -91.36735535)",,"(42.23906326, -71.00604248)","(39.87872696, -91.39875031)","(42.23906326, -71.00604248)","(42.23906326, -71.00604248)"
Bell Gardens,"(33.97483063, -118.1829376)","(33.97483063, -118.1829376)","(33.97612381, -118.203392)","(33.97483063, -118.1829376)","(33.97483063, -118.1829376)","(33.97612381, -118.203392)",,"(33.97483063, -118.1829376)","(33.97483063, -118.1829376)",,"(33.97483063, -118.1829376)"
Richardson,"(32.27280426, -95.93444061)","(32.99349213, -96.69972992)","(32.99586868, -96.72872162)","(32.27331924, -95.93034363)","(32.97222138, -96.72789002)","(32.27280426, -95.93444061)","(32.99586868, -96.72872162)","(32.99586868, -96.72872162)","(32.27331924, -95.93034363)",,
La Crosse,"(43.8122406, -91.24485779)","(43.8122406, -91.24485779)","(43.8122406, -91.24485779)","(43.8122406, -91.24485779)","(43.8122406, -91.24485779)","(43.8122406, -91.24485779)","(43.8122406, -91.24485779)","(43.8122406, -91.24485779)","(43.8122406, -91.24485779)",,
Augusta,"(33.50452042, -82.15914154)","(33.40760803, -82.00635529)","(33.4324379, -82.03875732)","(33.52104187, -82.04935455)","(31.78530121, -84.44017029)","(33.45863342, -82.06613922)","(33.4324379, -82.03875732)",,"(33.52104187, -82.04935455)","(33.52104187, -82.04935455)","(33.4324379, -82.03875732)"
Van Nuys,"(34.20820236, -118.4487228)","(34.18598938, -118.4482727)","(37.56495667, -122.2967758)","(34.18598938, -118.4482727)","(37.56495667, -122.2967758)","(34.15274811, -118.4490738)",,"(34.24677277, -118.4515915)","(34.19534683, -118.4487534)",,
Longview,"(46.40974426, -120.5451202)","(46.14056015, -122.9390869)","(46.40974426, -120.5451202)","(46.14056015, -122.9390869)","(46.18725205, -123.0871201)","(46.14056015, -122.9390869)","(46.19270325, -123.1642761)","(46.18856049, -123.102623)","(46.18856049, -123.102623)",,
Martinsburg,"(39.45571137, -77.96917725)","(39.44840241, -77.96647644)","(39.63795471, -78.11956024)","(39.44840241, -77.96647644)","(39.44840241, -77.96647644)","(39.41230393, -78.06230927)",,"(39.63185883, -78.17191315)",,,"(39.45571137, -77.96917725)"
Norwalk,"(38.26477051, -122.0758209)","(33.90202332, -118.079155)","(38.26477051, -122.0758209)","(33.90202332, -118.079155)",,"(33.90202332, -118.079155)",,"(34.13403702, -118.2214279)","(34.13403702, -118.2214279)",,
Bridgeton,"(39.44585037, -75.22688294)","(39.44585037, -75.22688294)","(39.45430374, -75.26563263)","(39.44585037, -75.22688294)","(39.44585037, -75.22688294)","(39.44585037, -75.22688294)",,"(39.44585037, -75.22688294)","(39.44585037, -75.22688294)","(39.44585037, -75.22688294)",
