,department id:2,department id:3,department id:4,department id:5,department id:6,department id:7,department id:8,department id:9,department id:10,department id:11,department id:12
Highland Park,,"(42.65964508, -83.4163971)","(44.05820847, -84.74975586)","(42.39495468, -83.09999085)","(42.65964508, -83.4163971)","(42.65964508, -83.4163971)",,"(42.39173126, -83.10753632)","(42.39173126, -83.10753632)",,
Broken Arrow,,"(36.07116318, -95.79754639)","(36.03966141, -95.80953217)","(36.03966141, -95.80953217)","(36.03966141, -95.80953217)","(36.03966141, -95.80953217)","(36.03966141, -95.80953217)","(36.03966141, -95.80953217)","(36.03966141, -95.80953217)",,
Glenview,,"(37.64143753, -121.8764877)","(42.06867981, -87.76311493)","(42.06897736, -87.77781677)","(42.07277679, -87.80484772)","(42.07281494, -87.80862427)","(42.06869888, -87.76191711)",,"(42.07277679, -87.80484772)",,"(42.06869888, -87.76191711)"
Palo Alto,,"(37.46242523, -122.1393967)","(37.46242523, -122.1393967)","(37.46242523, -122.1393967)","(37.46242523, -122.1393967)","(37.46242523, -122.1393967)",,"(37.46242523, -122.1393967)","(37.46242523, -122.1393967)",,
Passaic,,"(40.86001587, -74.12454987)","(40.86001587, -74.12454987)","(40.86259842, -74.11116791)","(40.86001587, -74.12454987)","(40.64435959, -74.24588013)","(40.86259842, -74.11116791)",,,,
Freehold,,"(40.28793335, -74.29071045)","(40.29318619, -74.34731293)",,"(40.29318619, -74.34731293)","(40.28793335, -74.29071045)",,,,,
Oregon City,,"(45.36910629, -122.5997391)","(45.36910629, -122.5997391)","(45.35498428, -122.6026993)","(45.35929489, -122.6099319)","(45.35498428, -122.6026993)",,,,,
Bensalem,,"(40.11061859, -74.94393921)","(40.11061859, -74.94393921)","(40.11061859, -74.94393921)",,"(40.12135315, -74.96206665)","(40.11023712, -74.91194916)","(40.11061859, -74.94393921)",,,
Colton,,"(32.79872894, -116.9538727)","(34.07820511, -117.3079071)","(34.07820511, -117.3079071)","(34.07820511, -117.3079071)","(32.79872894, -116.9538727)","(34.06945419, -117.3239441)",,,,
Jackson Heights,,"(34.06508637, -117.7450943)","(40.74940109, -73.88755798)","(40.7878418, -74.02061462)","(42.00489807, -75.92874146)","(42.23886108, -75.92342377)",,"(40.74940109, -73.88755798)","(40.74940109, -73.88755798)",,
Knoxville,,"(35.94585037, -84.09391022)","(35.81311417, -84.17388916)","(35.81311417, -84.17388916)","(35.81311417, -84.17388916)","(35.81311417, -84.17388916)","(35.89453888, -84.03444672)",,,,
Medford,,"(42.39771652, -71.10455322)","(42.41968918, -71.10621643)","(42.41968918, -71.10621643)","(42.39771652, -71.10455322)","(42.41968918, -71.10621643)",,,,,
Madera,,"(36.97071075, -120.0588531)","(36.97071075, -120.0588531)","(36.97071075, -120.0588531)","(36.97071075, -120.0588531)","(36.97071075, -120.0588531)",,"(36.97071075, -120.0588531)",,"(36.97071075, -120.0588531)","(36.97071075, -120.0588531)"
Henderson,,"(36.06906128, -115.0822067)","(36.06906128, -115.0822067)","(36.06906128, -115.0822067)","(36.04153061, -114.9654922)","(36.04153061, -114.9654922)",,"(36.04153061, -114.9654922)",,,
Blacksburg,,,"(37.24211121, -80.42279053)","(37.24211121, -80.42279053)","(37.24211121, -80.42279053)","(37.34079361, -80.17208862)",,,"(37.24211121, -80.42279053)",,
Warren,,"(42.51310349, -83.0218277)","(42.51310349, -83.0218277)","(42.51310349, -83.0218277)","(43.82843781, -84.42654419)","(42.51310349, -83.0218277)",,"(42.51310349, -83.0218277)","(42.51310349, -83.0218277)",,"(42.51310349, -83.0218277)"
Dayton,,,"(39.88864136, -84.07601166)","(39.88864136, -84.07601166)","(39.73299408, -84.26350403)","(39.88864136, -84.07601166)","(39.88864136, -84.07601166)","(39.81696701, -84.12969208)","(39.88864136, -84.07601166)",,
Painesville,,"(41.72412872, -81.24591065)","(41.72184372, -81.19454956)","(41.72412872, -81.24591065)","(41.72412872, -81.24591065)","(41.72412872, -81.24591065)",,,"(41.72412872, -81.24591065)",,
Des Plaines,,"(42.05358505, -87.8685379)","(42.05485153, -87.86340332)","(42.04048157, -87.88925934)",,"(42.04048157, -87.88925934)",,"(42.05426025, -87.90460968)","(42.05426025, -87.90460968)",,"(42.04048157, -87.88925934)"
Reno,,"(39.52199173, -119.8001633)","(39.56401444, -119.0788727)","(39.52199173, -119.8001633)","(39.52199173, -119.8001633)","(39.52199173, -119.8001633)",,,,"(39.56401444, -119.0788727)",
Taunton,,,"(41.90142822, -71.09406281)","(41.80683136, -70.95476532)","(41.90142822, -71.09406281)","(41.90142822, -71.09406281)",,"(41.89852524, -71.07177734)","(41.89852524, -71.07177734)",,"(41.90142822, -71.09406281)"
Bartlett,,,"(41.71783066, -88.20484924)","(41.99511337, -88.17980957)",,,,,,,
Sumner,,,"(47.21210861, -122.2123337)",,"(47.20898056, -122.2118378)","(47.21210861, -122.2123337)",,,,,
Tracy,,,"(33.20634842, -117.23069)","(33.20634842, -117.23069)","(37.72156525, -121.4348602)","(37.75931549, -121.435112)",,"(37.69612122, -121.4346771)","(37.70044327, -121.4347687)",,
Wilmington,,"(34.09378433, -118.2705994)","(34.09378433, -118.2705994)","(33.84475327, -118.2369156)","(34.09378433, -118.2705994)","(33.9878006, -118.2390747)","(33.94757462, -118.2390594)","(33.77769089, -118.274025)","(33.77769089, -118.274025)",,
La Puente,,"(34.02830887, -117.9406891)","(33.81112289, -112.0818558)","(33.81112289, -112.0818558)","(34.02830887, -117.9406891)","(34.02830887, -117.9406891)","(34.02830887, -117.9406891)","(34.02830887, -117.9406891)",,,
CA,,,"(34.07189179, -118.0138855)",,,,,"(38.40857315, -121.4491119)","(39.13415909, -123.7185516)",,
